# Endpoints Catalog - Exact .NET Names
# Updated: 2026-04-20
# This file shows Java endpoints using EXACT .NET endpoint names

Controller | Java Endpoint | .NET Endpoint | Status | Notes
Payroll | /Payroll/GetPayslipSection | Payroll/GetPayslipSection | IMPLEMENTED | Exact match
Payroll | /Payroll/AddPayslipSection | Payroll/AddPayslipSection | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdatePayslipSection | Payroll/UpdatePayslipSection | IMPLEMENTED | Exact match
Payroll | /Payroll/DeletePayslipSection | Payroll/DeletePayslipSection | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllPayslipSectionComponent | Payroll/GetAllPayslipSectionComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayslipSectionComponent | Payroll/GetPayslipSectionComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/AddPayslipSectionComponent | Payroll/AddPayslipSectionComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdatePayslipSectionComponent | Payroll/UpdatePayslipSectionComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/DeletePayslipSectionComponent | Payroll/DeletePayslipSectionComponent | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllEmployeeSalaryDetails | Payroll/GetAllEmployeeSalaryDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/GetEmployeeSalaryDetails | Payroll/GetEmployeeSalaryDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/AddEmployeeSalaryDetails | Payroll/AddEmployeeSalaryDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdateEmployeeSalaryDetails | Payroll/UpdateEmployeeSalaryDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/DeleteEmployeeSalaryDetails | Payroll/DeleteEmployeeSalaryDetails | IMPLEMENTED | Exact match
Payroll | /Payroll/GetAllPayoutMappingMaster | Payroll/GetAllPayoutMappingMaster | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayoutMappingMaster | Payroll/GetPayoutMappingMaster | IMPLEMENTED | Exact match
Payroll | /Payroll/AddPayoutMappingMaster | Payroll/AddPayoutMappingMaster | IMPLEMENTED | Exact match
Payroll | /Payroll/UpdatePayoutMappingMaster | Payroll/UpdatePayoutMappingMaster | IMPLEMENTED | Exact match
Payroll | /Payroll/DeletePayoutMappingMaster | Payroll/DeletePayoutMappingMaster | IMPLEMENTED | Exact match
Payroll | /Payroll/PayrollReportforALL | Payroll/PayrollReportforALL | IMPLEMENTED | Exact match
Payroll | /Payroll/DDLegalEntity | Payroll/DDLegalEntity | IMPLEMENTED | Exact match
Payroll | /Payroll/DDLocation | Payroll/DDLocation | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayrollComponents | Payroll/GetPayrollComponents | IMPLEMENTED | Exact match
Payroll | /Payroll/CalculatePayroll | Payroll/CalculatePayroll | IMPLEMENTED | Exact match
Payroll | /Payroll/GeneratePayslip | Payroll/GeneratePayslip | IMPLEMENTED | Exact match
Payroll | /Payroll/GetPayslipByEmployee | Payroll/GetPayslipByEmployee | IMPLEMENTED | Exact match
Payroll | /Payroll/ProcessPayroll | Payroll/ProcessPayroll | IMPLEMENTED | Exact match
Performance | /Performance/GetAllGoal | Performance/GetAllGoal | IMPLEMENTED | Exact match
Performance | /Performance/GetGoal | Performance/GetGoal | IMPLEMENTED | Exact match
Performance | /Performance/AddGoal | Performance/AddGoal | IMPLEMENTED | Exact match
Performance | /Performance/UpdateGoal | Performance/UpdateGoal | IMPLEMENTED | Exact match
Performance | /Performance/DeleteGoal | Performance/DeleteGoal | IMPLEMENTED | Exact match
Performance | /Performance/GetAllKPI | Performance/GetAllKPI | IMPLEMENTED | Exact match
Performance | /Performance/GetKPI | Performance/GetKPI | IMPLEMENTED | Exact match
Performance | /Performance/AddKPI | Performance/AddKPI | IMPLEMENTED | Exact match
Performance | /Performance/UpdateKPI | Performance/UpdateKPI | IMPLEMENTED | Exact match
Performance | /Performance/DeleteKPI | Performance/DeleteKPI | IMPLEMENTED | Exact match
Performance | /Performance/GetAllAppraisal | Performance/GetAllAppraisal | IMPLEMENTED | Exact match
Performance | /Performance/GetAppraisal | Performance/GetAppraisal | IMPLEMENTED | Exact match
Performance | /Performance/AddAppraisal | Performance/AddAppraisal | IMPLEMENTED | Exact match
Performance | /Performance/UpdateAppraisal | Performance/UpdateAppraisal | IMPLEMENTED | Exact match
Performance | /Performance/DeleteAppraisal | Performance/DeleteAppraisal | IMPLEMENTED | Exact match
Performance | /Performance/AppraisalStatus | Performance/AppraisalStatus | IMPLEMENTED | Exact match
Performance | /Performance/GetAllBehaviouralGoal | Performance/GetAllBehaviouralGoal | IMPLEMENTED | Exact match
